;lat;lon;min_db;max_db
0;54.44224754995499;18.453185;55.0;60.0
1;54.43774709990999;18.460877307692307;70.0;75.0
2;54.433246649864984;18.468569615384617;65.0;70.0
3;54.433246649864984;18.483954230769232;60.0;65.0
4;54.42874619981998;18.460877307692307;65.0;70.0
5;54.42874619981998;18.476261923076922;55.0;60.0
6;54.424245749774975;18.476261923076922;55.0;60.0
7;54.424245749774975;18.491646538461538;65.0;70.0
8;54.424245749774975;18.499338846153847;55.0;60.0
9;54.424245749774975;18.576261923076924;55.0;60.0
10;54.419745299729975;18.468569615384617;55.0;60.0
11;54.419745299729975;18.483954230769232;55.0;60.0
12;54.419745299729975;18.491646538461538;60.0;65.0
13;54.419745299729975;18.507031153846153;55.0;60.0
14;54.419745299729975;18.514723461538463;60.0;65.0
15;54.419745299729975;18.537800384615384;60.0;65.0
16;54.419745299729975;18.56087730769231;70.0;75.0
17;54.419745299729975;18.58395423076923;70.0;75.0
18;54.419745299729975;18.599338846153845;65.0;70.0
19;54.419745299729975;18.607031153846155;60.0;65.0
20;54.41524484968497;18.476261923076922;55.0;60.0
21;54.41524484968497;18.483954230769232;55.0;60.0
22;54.41524484968497;18.491646538461538;60.0;65.0
23;54.41524484968497;18.545492692307693;70.0;75.0
24;54.41524484968497;18.568569615384614;55.0;60.0
25;54.41524484968497;18.576261923076924;55.0;60.0
26;54.41524484968497;18.58395423076923;60.0;65.0
27;54.41074439963997;18.476261923076922;55.0;60.0
28;54.41074439963997;18.483954230769232;70.0;75.0
29;54.41074439963997;18.491646538461538;60.0;65.0
30;54.41074439963997;18.553185;60.0;65.0
31;54.41074439963997;18.568569615384614;55.0;60.0
32;54.41074439963997;18.607031153846155;60.0;65.0
33;54.40624394959496;18.468569615384617;55.0;60.0
34;54.40624394959496;18.476261923076922;55.0;60.0
35;54.40624394959496;18.483954230769232;70.0;75.0
36;54.40624394959496;18.491646538461538;60.0;65.0
37;54.40624394959496;18.568569615384614;55.0;60.0
38;54.40624394959496;18.576261923076924;65.0;70.0
39;54.40624394959496;18.61472346153846;70.0;75.0
40;54.40624394959496;18.62241576923077;55.0;60.0
41;54.40624394959496;18.637800384615385;65.0;70.0
42;54.40624394959496;18.64549269230769;70.0;75.0
43;54.40174349954995;18.476261923076922;55.0;60.0
44;54.40174349954995;18.483954230769232;70.0;75.0
45;54.40174349954995;18.491646538461538;60.0;65.0
46;54.40174349954995;18.56087730769231;55.0;60.0
47;54.40174349954995;18.576261923076924;60.0;65.0
48;54.40174349954995;18.59164653846154;60.0;65.0
49;54.40174349954995;18.62241576923077;60.0;65.0
50;54.40174349954995;18.630108076923076;60.0;65.0
51;54.40174349954995;18.660877307692306;55.0;60.0
52;54.40174349954995;18.668569615384616;60.0;65.0
53;54.40174349954995;18.676261923076922;60.0;65.0
54;54.39724304950495;18.476261923076922;55.0;60.0
55;54.39724304950495;18.483954230769232;60.0;65.0
56;54.39724304950495;18.491646538461538;60.0;65.0
57;54.39724304950495;18.576261923076924;55.0;60.0
58;54.39724304950495;18.599338846153845;60.0;65.0
59;54.39724304950495;18.62241576923077;60.0;65.0
60;54.39724304950495;18.630108076923076;55.0;60.0
61;54.39274259945994;18.483954230769232;60.0;65.0
62;54.39274259945994;18.491646538461538;65.0;70.0
63;54.39274259945994;18.499338846153847;60.0;65.0
64;54.39274259945994;18.568569615384614;55.0;60.0
65;54.39274259945994;18.576261923076924;65.0;70.0
66;54.39274259945994;18.58395423076923;75.0;80.0
67;54.39274259945994;18.59164653846154;55.0;60.0
68;54.39274259945994;18.599338846153845;60.0;65.0
69;54.39274259945994;18.607031153846155;55.0;60.0
70;54.39274259945994;18.62241576923077;60.0;65.0
71;54.39274259945994;18.630108076923076;60.0;65.0
72;54.39274259945994;18.637800384615385;55.0;60.0
73;54.39274259945994;18.676261923076922;55.0;60.0
74;54.38824214941494;18.491646538461538;60.0;65.0
75;54.38824214941494;18.499338846153847;65.0;70.0
76;54.38824214941494;18.507031153846153;55.0;60.0
77;54.38824214941494;18.59164653846154;55.0;60.0
78;54.38824214941494;18.607031153846155;70.0;75.0
79;54.38824214941494;18.61472346153846;70.0;75.0
80;54.38824214941494;18.62241576923077;65.0;70.0
81;54.38824214941494;18.64549269230769;55.0;60.0
82;54.38824214941494;18.653185;60.0;65.0
83;54.383741699369935;18.437800384615386;55.0;60.0
84;54.383741699369935;18.491646538461538;55.0;60.0
85;54.383741699369935;18.499338846153847;65.0;70.0
86;54.383741699369935;18.507031153846153;65.0;70.0
87;54.383741699369935;18.514723461538463;55.0;60.0
88;54.383741699369935;18.58395423076923;65.0;70.0
89;54.383741699369935;18.59164653846154;60.0;65.0
90;54.383741699369935;18.599338846153845;65.0;70.0
91;54.383741699369935;18.607031153846155;60.0;65.0
92;54.383741699369935;18.62241576923077;65.0;70.0
93;54.383741699369935;18.68395423076923;65.0;70.0
94;54.379241249324934;18.445492692307692;60.0;65.0
95;54.379241249324934;18.483954230769232;70.0;75.0
96;54.379241249324934;18.491646538461538;55.0;60.0
97;54.379241249324934;18.499338846153847;55.0;60.0
98;54.379241249324934;18.507031153846153;65.0;70.0
99;54.379241249324934;18.514723461538463;65.0;70.0
100;54.379241249324934;18.52241576923077;55.0;60.0
101;54.379241249324934;18.58395423076923;60.0;65.0
102;54.379241249324934;18.59164653846154;70.0;75.0
103;54.379241249324934;18.61472346153846;60.0;65.0
104;54.379241249324934;18.630108076923076;55.0;60.0
105;54.379241249324934;18.676261923076922;65.0;70.0
106;54.379241249324934;18.68395423076923;60.0;65.0
