4703,731,NO2,dwutlenek azotu
4706,731,PM10,pył zawieszony PM10
4707,731,SO2,dwutlenek siarki
27667,731,PM2.5,pył zawieszony PM2.5
4755,736,CO,tlenek węgla
4758,736,NO2,dwutlenek azotu
4760,736,O3,ozon
4761,736,PM10,pył zawieszony PM10
4762,736,PM2.5,pył zawieszony PM2.5
4764,736,SO2,dwutlenek siarki
28378,736,C6H6,benzen
26212,16242,NO2,dwutlenek azotu
26219,16242,PM10,pył zawieszony PM10
26221,16242,PM2.5,pył zawieszony PM2.5
