2017-01-01 00:00:00, 24,10,,,piece,piece
2017-01-01 00:00:00, 26,13,,,piece,piece
2017-01-01 00:00:00, 29,10,,,piece,piece
2017-01-01 00:00:00, 31,350,,,piece,piece
2017-01-01 00:00:00, 32,3,,,piece,piece
2017-01-01 00:00:00, 6,50,,,piece,piece
2017-01-01 00:00:00, 5,50,,,piece,piece
2017-01-01 00:00:00, 27,35,,,piece,piece
2017-01-01 00:00:00, 4,33,,,piece,piece
2017-01-01 00:00:00, 34,33,,,piece,piece
2017-01-01 00:00:00, 38,53,,,piece,piece
2017-01-01 00:00:00, 19,41,,,piece,piece
2017-01-01 00:00:00, 39,19,,,piece,piece
2017-01-01 00:00:00, 30,647,,,piece,piece
2017-01-01 00:00:00, 9,200,,,piece,piece
2017-01-01 00:00:00, 7,475,,,piece,piece
2017-01-01 00:00:00, 3,4,,,piece,piece
2017-01-01 00:00:00, 2,156,,,piece,piece
2017-01-01 00:00:00, 15,928,,,piece,piece
2017-01-01 00:00:00, 37,928,,,piece,piece
2017-01-01 00:00:00, 16,226,,,piece,piece
2017-01-01 00:00:00, 17,120,,,piece,piece
2017-01-01 00:00:00, 14,57,,,piece,piece
2017-01-01 00:00:00, 11,199,,,piece,piece
2017-01-01 00:00:00, 12,199,,,piece,piece
2017-01-01 00:00:00, 10,181,,,piece,piece
2017-01-01 00:00:00, 13,160,,,piece,piece
2017-01-01 00:00:00, 18,1193,,,piece,piece
2017-01-01 00:00:00, 41,68,,,piece,piece
2017-01-01 00:00:00, 22,117,,,piece,piece
2017-01-01 00:00:00, 21,526,,,piece,piece
2017-01-01 00:00:00, 33,122,,,piece,piece
2017-01-01 00:00:00, 23,672,,,piece,piece
