;id;lat;lon;light;height;station_type
868;464967;18.61472346153846;54.383741699369935;6.39396953582764;12;4
869;464968;18.576261923076924;54.383741699369935;4.77413368225098;52;4
870;464969;18.637800384615385;54.383741699369935;6.83925437927246;1;4
871;464970;18.56087730769231;54.383741699369935;3.70407629013062;107;4
872;464971;18.553185;54.383741699369935;3.19714283943176;92;4
873;464972;18.59164653846154;54.383741699369935;5.80086708068848;21;4
874;464973;18.491646538461538;54.38824214941494;1.93752872943878;144;4
875;464974;18.676261923076922;54.383741699369935;4.39301586151123;6;4
876;464975;18.630108076923076;54.383741699369935;6.70653200149536;2;4
877;464976;18.62241576923077;54.383741699369935;6.5167875289917;5;4
878;464977;18.483954230769232;54.38824214941494;1.92801260948181;143;4
879;464978;18.722415769230768;54.383741699369935;3.47654700279236;0;4
880;464979;18.68395423076923;54.383741699369935;3.88092303276062;1;4
881;464980;18.753185;54.383741699369935;1.50973105430603;0;4
882;464981;18.78395423076923;54.383741699369935;0.956781208515167;0;4
883;464982;18.58395423076923;54.383741699369935;5.29645538330078;27;4
884;464983;18.699338846153847;54.383741699369935;3.65427017211914;5;4
885;464984;18.707031153846152;54.383741699369935;3.71514391899109;2;4
886;464985;18.653185;54.383741699369935;6.37518501281738;0;4
887;464986;18.714723461538462;54.383741699369935;3.89456605911255;0;4
888;464987;18.799338846153844;54.383741699369935;0.866496205329895;0;4
889;464988;18.660877307692306;54.383741699369935;5.83994913101196;9;4
890;464989;18.768569615384614;54.383741699369935;1.18605864048004;0;4
891;464990;18.760877307692308;54.383741699369935;1.33113157749176;0;4
892;464991;18.730108076923077;54.383741699369935;2.62938165664673;0;4
893;464992;18.807031153846154;54.383741699369935;0.788569092750549;0;4
894;464993;18.737800384615383;54.383741699369935;2.06775689125061;0;4
895;464994;18.691646538461537;54.383741699369935;3.65427017211914;0;4
896;464995;18.64549269230769;54.383741699369935;6.73852491378784;0;4
897;464996;18.745492692307693;54.383741699369935;1.74062991142273;0;4
898;464997;18.453185;54.379241249324934;1.89658892154694;134;4
899;464998;18.445492692307692;54.379241249324934;1.59245491027832;131;4
900;464999;18.39164653846154;54.379241249324934;1.02702605724335;162;4
901;465000;18.776261923076923;54.383741699369935;1.06249630451202;0;4
