;id;lat;lon;light;height;station_type
1756;464186;54.32073539873987;18.353185;0.00948333460837603;272;4
1757;464187;54.31623494869487;18.38395423076923;-1.0;-1;4
1758;464188;54.31623494869487;18.507031153846153;-1.0;-1;4
1759;464189;54.31623494869487;18.553185;-1.0;-1;4
1760;464190;54.31623494869487;18.368569615384615;-1.0;-1;4
1761;464191;54.31623494869487;18.545492692307693;-1.0;-1;4
1762;464192;54.32073539873987;18.407031153846155;0.00701349694281816;263;4
1763;464193;54.32073539873987;18.36087730769231;0.00937877222895622;273;4
1764;464194;54.32073539873987;18.58395423076923;-1.0;-1;4
1765;464195;54.32073539873987;18.368569615384615;0.00927090737968683;272;4
1766;464196;54.32073539873987;18.483954230769232;-1.0;-1;4
1767;464197;54.31623494869487;18.568569615384614;-1.0;-1;4
1768;464198;54.31623494869487;18.576261923076924;-1.0;-1;4
1769;464199;54.31623494869487;18.59164653846154;-1.0;-1;4
1770;464200;54.31623494869487;18.599338846153845;-1.0;-1;4
1771;464201;54.32073539873987;18.437800384615386;-1.0;-1;4
1772;464202;54.31623494869487;18.607031153846155;-1.0;-1;4
1773;464203;54.31623494869487;18.630108076923076;-1.0;-1;4
1774;464204;54.31623494869487;18.637800384615385;-1.0;-1;4
1775;464205;54.31623494869487;18.58395423076923;-1.0;-1;4
1776;464206;54.31623494869487;18.61472346153846;-1.0;-1;4
1777;464207;54.31623494869487;18.62241576923077;-1.0;-1;4
1778;464208;54.31623494869487;18.691646538461537;-1.0;-1;4
1779;464209;54.31623494869487;18.668569615384616;-1.0;-1;4
1780;464210;54.31623494869487;18.745492692307693;-1.0;-1;4
1781;464211;54.31623494869487;18.699338846153847;-1.0;-1;4
1782;464212;54.31623494869487;18.660877307692306;-1.0;-1;4
1783;464213;54.31623494869487;18.737800384615383;-1.0;-1;4
1784;464214;54.31623494869487;18.714723461538462;-1.0;-1;4
1785;464215;54.31623494869487;18.722415769230768;-1.0;-1;4
1786;464216;54.31623494869487;18.64549269230769;-1.0;-1;4
1787;464217;54.31623494869487;18.653185;-1.0;-1;4
1788;464218;54.31623494869487;18.676261923076922;-1.0;-1;4
1789;464219;54.31623494869487;18.760877307692308;-1.0;-1;4
1790;464220;54.31623494869487;18.799338846153844;-1.0;-1;4
1791;464221;54.31623494869487;18.776261923076923;-1.0;-1;4
1792;464222;54.31623494869487;18.768569615384614;-1.0;-1;4
1793;464223;54.31173449864986;18.353185;-1.0;-1;4
1794;464224;54.31623494869487;18.707031153846152;-1.0;-1;4
1795;464225;54.31173449864986;18.407031153846155;-1.0;-1;4
1796;464226;54.31623494869487;18.753185;-1.0;-1;4
1797;464227;54.31173449864986;18.36087730769231;-1.0;-1;4
1798;464228;54.31623494869487;18.79164653846154;-1.0;-1;4
1799;464229;54.31173449864986;18.38395423076923;-1.0;-1;4
1800;464230;54.31623494869487;18.730108076923077;-1.0;-1;4
1801;464231;54.31623494869487;18.78395423076923;-1.0;-1;4
1802;464232;54.31173449864986;18.376261923076925;-1.0;-1;4
1803;464233;54.31623494869487;18.807031153846154;-1.0;-1;4
1804;464234;54.31173449864986;18.399338846153846;-1.0;-1;4
1805;464235;54.31173449864986;18.530108076923078;-1.0;-1;4
1806;464236;54.31173449864986;18.445492692307692;-1.0;-1;4
1807;464237;54.31173449864986;18.499338846153847;-1.0;-1;4
1808;464238;54.31173449864986;18.507031153846153;-1.0;-1;4
1809;464239;54.31173449864986;18.437800384615386;-1.0;-1;4
1810;464240;54.31173449864986;18.39164653846154;-1.0;-1;4
1811;464241;54.31173449864986;18.568569615384614;-1.0;-1;4
1812;464242;54.31173449864986;18.453185;-1.0;-1;4
1813;464243;54.31173449864986;18.576261923076924;-1.0;-1;4
1814;464244;54.31173449864986;18.491646538461538;-1.0;-1;4
1815;464245;54.31173449864986;18.553185;-1.0;-1;4
1816;464246;54.31173449864986;18.56087730769231;-1.0;-1;4
1817;464247;54.31173449864986;18.537800384615384;-1.0;-1;4
1818;464248;54.31173449864986;18.460877307692307;-1.0;-1;4
1819;464249;54.31173449864986;18.483954230769232;-1.0;-1;4
1820;464250;54.31623494869487;18.68395423076923;-1.0;-1;4
1821;464251;54.31173449864986;18.59164653846154;-1.0;-1;4
1822;464252;54.31173449864986;18.691646538461537;-1.0;-1;4
1823;464253;54.31173449864986;18.637800384615385;-1.0;-1;4
1824;464254;54.31173449864986;18.61472346153846;-1.0;-1;4
1825;464255;54.31173449864986;18.630108076923076;-1.0;-1;4
1826;464256;54.31173449864986;18.660877307692306;-1.0;-1;4
1827;464257;54.31173449864986;18.699338846153847;-1.0;-1;4
1828;464258;54.31173449864986;18.676261923076922;-1.0;-1;4
1829;464259;54.31173449864986;18.514723461538463;-1.0;-1;4
1830;464260;54.31173449864986;18.607031153846155;-1.0;-1;4
1831;464261;54.31173449864986;18.476261923076922;-1.0;-1;4
1832;464262;54.31173449864986;18.653185;-1.0;-1;4
1833;464263;54.31173449864986;18.42241576923077;-1.0;-1;4
1834;464264;54.31173449864986;18.368569615384615;-1.0;-1;4
1835;464265;54.31173449864986;18.68395423076923;-1.0;-1;4
1836;464266;54.31173449864986;18.52241576923077;-1.0;-1;4
1837;464267;54.31173449864986;18.58395423076923;-1.0;-1;4
1838;464268;54.31173449864986;18.41472346153846;-1.0;-1;4
1839;464269;54.31173449864986;18.64549269230769;-1.0;-1;4
1840;464270;54.31173449864986;18.668569615384616;-1.0;-1;4
1841;464271;54.31173449864986;18.62241576923077;-1.0;-1;4
1842;464272;54.31173449864986;18.430108076923077;-1.0;-1;4
1843;464273;54.31173449864986;18.468569615384617;-1.0;-1;4
1844;464274;54.31173449864986;18.545492692307693;-1.0;-1;4
1845;464275;54.31173449864986;18.599338846153845;-1.0;-1;4
1846;464276;54.31173449864986;18.722415769230768;-1.0;-1;4
1847;464277;54.31173449864986;18.799338846153844;-1.0;-1;4
1848;464278;54.31173449864986;18.730108076923077;-1.0;-1;4
1849;464279;54.31173449864986;18.776261923076923;-1.0;-1;4
1850;464280;54.31173449864986;18.714723461538462;-1.0;-1;4
1851;464281;54.31173449864986;18.737800384615383;-1.0;-1;4
1852;464282;54.31173449864986;18.707031153846152;-1.0;-1;4
1853;464283;54.31173449864986;18.79164653846154;-1.0;-1;4
1854;464284;54.31173449864986;18.753185;-1.0;-1;4
